                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.98436,                 0.5475,                 1.1353,                0.98658,                0.97468,                0.98876,                0.70263,                 1.0657,                0.48697,                 1.1881,              0.0010298,              0.0010298,              0.0010298
                     52,                0.95106,                 0.5203,                 1.1163,                0.99797,                      1,                  0.995,                0.69586,                 1.0616,                  0.486,                 1.1786,                0.00101,                0.00101,                0.00101
                     53,                0.91949,                0.50148,                 1.0953,                0.98539,                      1,                0.98562,                0.66132,                 1.0548,                0.48508,                  1.187,              0.0009902,              0.0009902,              0.0009902
                     54,                0.89164,                0.48924,                 1.1095,                0.98747,                0.99792,                  0.986,                0.69624,                 1.0601,                0.49341,                 1.2002,              0.0009704,              0.0009704,              0.0009704
                     55,                0.93683,                0.51032,                 1.0885,                0.97526,                0.99814,                 0.9888,                0.69862,                 1.0631,                0.52489,                  1.213,              0.0009506,              0.0009506,              0.0009506
                     56,                0.88805,                0.49475,                 1.0818,                 0.9875,                      1,                0.99162,                0.70572,                 1.0344,                0.47024,                 1.1836,              0.0009308,              0.0009308,              0.0009308
                     57,                0.90949,                0.50298,                 1.0954,                 0.9865,                      1,                  0.986,                0.69346,                  1.071,                0.47299,                 1.2053,               0.000911,               0.000911,               0.000911
                     58,                0.94348,                0.51479,                 1.1026,                0.98641,                      1,                0.98875,                0.68131,                 1.0177,                0.45607,                 1.1578,              0.0008912,              0.0008912,              0.0008912
                     59,                0.87609,                0.50021,                 1.0856,                 0.9639,                0.98734,                0.97934,                 0.6854,                 1.0616,                0.48381,                 1.2045,              0.0008714,              0.0008714,              0.0008714
                     60,                0.88679,                0.47652,                 1.0885,                0.96183,                0.97468,                0.97563,                0.69761,                 1.0391,                0.48704,                 1.1827,              0.0008516,              0.0008516,              0.0008516
                     61,                0.88797,                0.47325,                 1.0754,                0.97504,                      1,                0.98812,                 0.7031,                 1.0454,                 0.4643,                 1.1843,              0.0008318,              0.0008318,              0.0008318
                     62,                0.93644,                0.50262,                 1.0977,                0.98644,                      1,                0.98637,                0.69076,                 1.0368,                0.47084,                 1.1708,               0.000812,               0.000812,               0.000812
                     63,                0.89239,                0.47554,                 1.0887,                0.98617,                      1,                0.99012,                0.69122,                 1.0513,                0.45865,                 1.1863,              0.0007922,              0.0007922,              0.0007922
                     64,                0.87141,                0.49074,                 1.0703,                 0.9865,                      1,                0.99362,                0.68626,                 1.0248,                0.46458,                 1.1562,              0.0007724,              0.0007724,              0.0007724
                     65,                0.87457,                0.47568,                 1.0598,                0.97413,                0.98734,                0.98821,                0.69285,                  1.053,                0.46636,                 1.1736,              0.0007526,              0.0007526,              0.0007526
                     66,                0.86857,                0.47413,                 1.0728,                0.97403,                0.98734,                0.97903,                0.70498,                 1.0442,                0.45528,                 1.1768,              0.0007328,              0.0007328,              0.0007328
                     67,                0.87816,                0.48507,                  1.069,                0.97377,                0.98734,                0.97434,                0.69288,                 1.0501,                0.46257,                 1.1826,               0.000713,               0.000713,               0.000713
                     68,                0.86821,                  0.463,                 1.0816,                0.96158,                0.98734,                0.97332,                0.69527,                  1.063,                0.48269,                 1.2038,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.8371,                0.47472,                 1.0642,                0.98154,                      1,                0.98412,                0.69468,                 1.0262,                0.45926,                 1.1766,              0.0006734,              0.0006734,              0.0006734
                     70,                0.84919,                0.45232,                 1.0702,                0.97377,                0.98734,                0.97944,                0.70649,                 1.0007,                0.43559,                 1.1408,              0.0006536,              0.0006536,              0.0006536
                     71,                0.87908,                0.47847,                 1.0771,                0.98663,                      1,                0.98662,                0.71199,                 1.0272,                0.44779,                 1.1628,              0.0006338,              0.0006338,              0.0006338
                     72,                0.86542,                0.45924,                 1.0662,                 0.9864,                      1,                0.98925,                0.72758,                 1.0229,                0.44971,                 1.1667,               0.000614,               0.000614,               0.000614
                     73,                0.82469,                0.44967,                 1.0446,                0.97391,                0.98734,                0.98307,                 0.7213,                0.97791,                0.42369,                 1.1382,              0.0005942,              0.0005942,              0.0005942
                     74,                0.87403,                0.47064,                 1.0817,                0.98656,                      1,                0.98987,                0.73129,                0.99198,                  0.436,                 1.1365,              0.0005744,              0.0005744,              0.0005744
                     75,                0.88216,                0.47256,                 1.0719,                0.98611,                      1,                0.98875,                0.71481,                 1.0081,                0.45561,                 1.1622,              0.0005546,              0.0005546,              0.0005546
